id	name	desc	lane	startAno	startMes	startDia	endAno	endMes	endDia	class
0	academica1	desc academica1	0	2001	1	1	2005	12	31	past
1	academica2	desc academica2	0	2010	10	1	2011	9	30	past
2	academica3	desc academica3	0	2012	9	10	2012	12	12	past
3	academica4	desc academica4	0	2012	8	20	2013	2	15	past
4	profissional1	desc profissional1	1	2006	5	1	2007	9	30	past
5	profissional2	desc profissional2	1	2007	10	1	2008	6	2	past
6	profissional3	desc profissional3	1	2008	8	15	2010	4	30	past
7	profissional4	desc profissional4	1	2011	12	9	2012	12	1	past
8	profissional5	desc profissional5	1	2012	12	20	2013	6	1	past
9	extra1	desc extra1	2	2001	1	1	2005	12	31	past
10	extra2	desc extra2	2	2010	10	1	2011	9	30	past
11	extra3	desc extra3	2	2012	9	10	2012	12	12	past
8	extra4	desc extra4	2	2012	8	20	2013	2	15	past
9	outros1	desc outros1	3	2006	5	1	2007	9	30	past
10	outros2	desc outros2	3	2007	10	1	2008	6	2	past
11	outros3	desc outros3	3	2008	8	15	2010	4	30	past
12	outros4	desc outros4	3	2011	12	9	2012	12	1	past
